             c_cp             | c_estado 
------------------------------+----------
 20000                        | AGU
 20001                        | AGU
 20002                        | AGU
 20003                        | AGU
 20004                        | AGU
 20005                        | AGU
 20006                        | AGU
 20007                        | AGU
 20008                        | AGU
 20009                        | AGU
 20010                        | AGU
 20011                        | AGU
 20012                        | AGU
 20013                        | AGU
 20014                        | AGU
 20015                        | AGU
 20016                        | AGU
 20017                        | AGU
 20018                        | AGU
 20019                        | AGU
 20020                        | AGU
 20021                        | AGU
 20022                        | AGU
 20023                        | AGU
 20024                        | AGU
 20025                        | AGU
 20026                        | AGU
 20027                        | AGU
 20028                        | AGU
 20029                        | AGU
 20030                        | AGU
 20031                        | AGU
 20032                        | AGU
 20033                        | AGU
 20034                        | AGU
 20035                        | AGU
 20036                        | AGU
 20037                        | AGU
 20038                        | AGU
 20039                        | AGU
 20040                        | AGU
 20041                        | AGU
 20042                        | AGU
 20043                        | AGU
 20044                        | AGU
 20045                        | AGU
 20046                        | AGU
 20047                        | AGU
 20048                        | AGU
 20049                        | AGU
 20050                        | AGU
 20051                        | AGU
 20052                        | AGU
 20053                        | AGU
 20054                        | AGU
 20055                        | AGU
 20056                        | AGU
 20057                        | AGU
 20058                        | AGU
 20059                        | AGU
 20060                        | AGU
 20061                        | AGU
 20062                        | AGU
 20063                        | AGU
 20064                        | AGU
 20065                        | AGU
 20066                        | AGU
 20067                        | AGU
 20068                        | AGU
 20069                        | AGU
 20070                        | AGU
 20071                        | AGU
 20072                        | AGU
 20073                        | AGU
 20074                        | AGU
 20075                        | AGU
 20076                        | AGU
 20077                        | AGU
 20078                        | AGU
 20079                        | AGU
 20080                        | AGU
 20081                        | AGU
 20082                        | AGU
 20083                        | AGU
 20084                        | AGU
 20085                        | AGU
 20086                        | AGU
 20087                        | AGU
 20088                        | AGU
 20089                        | AGU
 20090                        | AGU
 20091                        | AGU
 20092                        | AGU
 20093                        | AGU
 20094                        | AGU
 20095                        | AGU
 20096                        | AGU
 20097                        | AGU
 20098                        | AGU
 20099                        | AGU
 20100                        | AGU
 20101                        | AGU
 20102                        | AGU
 20103                        | AGU
 20104                        | AGU
 20105                        | AGU
 20106                        | AGU
 20107                        | AGU
 20108                        | AGU
 20109                        | AGU
 20110                        | AGU
 20111                        | AGU
 20112                        | AGU
 20113                        | AGU
 20114                        | AGU
 20115                        | AGU
 20116                        | AGU
 20117                        | AGU
 20118                        | AGU
 20119                        | AGU
 20120                        | AGU
 20121                        | AGU
 20122                        | AGU
 20123                        | AGU
 20124                        | AGU
 20125                        | AGU
 20126                        | AGU
 20127                        | AGU
 20128                        | AGU
 20129                        | AGU
 20130                        | AGU
 20131                        | AGU
 20132                        | AGU
 20133                        | AGU
 20134                        | AGU
 20135                        | AGU
 20136                        | AGU
 20137                        | AGU
 20138                        | AGU
 20139                        | AGU
 20140                        | AGU
 20141                        | AGU
 20142                        | AGU
 20143                        | AGU
 20144                        | AGU
 20145                        | AGU
 20146                        | AGU
 20147                        | AGU
 20148                        | AGU
 20149                        | AGU
 20150                        | AGU
 20151                        | AGU
 20152                        | AGU
 20153                        | AGU
 20154                        | AGU
 20155                        | AGU
 20156                        | AGU
 20157                        | AGU
 20158                        | AGU
 20159                        | AGU
 20160                        | AGU
 20161                        | AGU
 20162                        | AGU
 20163                        | AGU
 20164                        | AGU
 20165                        | AGU
 20166                        | AGU
 20167                        | AGU
 20168                        | AGU
 20169                        | AGU
 20170                        | AGU
 20171                        | AGU
 20172                        | AGU
 20173                        | AGU
 20174                        | AGU
 20175                        | AGU
 20176                        | AGU
 20177                        | AGU
 20178                        | AGU
 20179                        | AGU
 20180                        | AGU
 20181                        | AGU
 20182                        | AGU
 20183                        | AGU
 20184                        | AGU
 20185                        | AGU
 20186                        | AGU
 20187                        | AGU
 20188                        | AGU
 20189                        | AGU
 20190                        | AGU
 20191                        | AGU
 20192                        | AGU
 20193                        | AGU
 20194                        | AGU
 20195                        | AGU
 20196                        | AGU
 20197                        | AGU
 20198                        | AGU
 20199                        | AGU
 20200                        | AGU
 20201                        | AGU
 20202                        | AGU
 20203                        | AGU
 20204                        | AGU
 20205                        | AGU
 20206                        | AGU
 20207                        | AGU
 20208                        | AGU
 20209                        | AGU
 20210                        | AGU
 20211                        | AGU
 20212                        | AGU
 20213                        | AGU
 20214                        | AGU
 20215                        | AGU
 20216                        | AGU
 20217                        | AGU
 20218                        | AGU
 20219                        | AGU
 20220                        | AGU
 20221                        | AGU
 20222                        | AGU
 20223                        | AGU
 20224                        | AGU
 20225                        | AGU
 20226                        | AGU
 20227                        | AGU
 20228                        | AGU
 20229                        | AGU
 20230                        | AGU
 20231                        | AGU
 20232                        | AGU
 20233                        | AGU
 20234                        | AGU
 20235                        | AGU
 20236                        | AGU
 20237                        | AGU
 20238                        | AGU
 20239                        | AGU
 20240                        | AGU
 20241                        | AGU
 20242                        | AGU
 20243                        | AGU
 20244                        | AGU
 20245                        | AGU
 20246                        | AGU
 20247                        | AGU
 20248                        | AGU
 20249                        | AGU
 20250                        | AGU
 20251                        | AGU
 20252                        | AGU
 20253                        | AGU
 20254                        | AGU
 20255                        | AGU
 20256                        | AGU
 20257                        | AGU
 20258                        | AGU
 20259                        | AGU
 20260                        | AGU
 20261                        | AGU
 20262                        | AGU
 20263                        | AGU
 20264                        | AGU
 20265                        | AGU
 20266                        | AGU
 20267                        | AGU
 20268                        | AGU
 20269                        | AGU
 20270                        | AGU
 20271                        | AGU
 20272                        | AGU
 20273                        | AGU
 20274                        | AGU
 20275                        | AGU
 20276                        | AGU
 20277                        | AGU
 20278                        | AGU
 20279                        | AGU
 20280                        | AGU
 20281                        | AGU
 20282                        | AGU
 20283                        | AGU
 20284                        | AGU
 20285                        | AGU
 20286                        | AGU
 20287                        | AGU
 20288                        | AGU
 20289                        | AGU
 20290                        | AGU
 20291                        | AGU
 20292                        | AGU
 20293                        | AGU
 20294                        | AGU
 20295                        | AGU
 20296                        | AGU
 20297                        | AGU
 20298                        | AGU
 20299                        | AGU
 20300                        | AGU
 20301                        | AGU
 20302                        | AGU
 20303                        | AGU
 20304                        | AGU
 20305                        | AGU
 20306                        | AGU
 20307                        | AGU
 20308                        | AGU
 20309                        | AGU
 20310                        | AGU
 20311                        | AGU
 20312                        | AGU
 20313                        | AGU
 20314                        | AGU
 20315                        | AGU
 20316                        | AGU
 20317                        | AGU
 20318                        | AGU
 20319                        | AGU
 20320                        | AGU
 20321                        | AGU
 20322                        | AGU
 20323                        | AGU
 20324                        | AGU
 20325                        | AGU
 20326                        | AGU
 20327                        | AGU
 20328                        | AGU
 20329                        | AGU
 20330                        | AGU
 20331                        | AGU
 20332                        | AGU
 20333                        | AGU
 20334                        | AGU
 20335                        | AGU
 20336                        | AGU
 20337                        | AGU
 20338                        | AGU
 20339                        | AGU
 20340                        | AGU
 20341                        | AGU
 20342                        | AGU
 20343                        | AGU
 20344                        | AGU
 20345                        | AGU
 20346                        | AGU
 20347                        | AGU
 20348                        | AGU
 20349                        | AGU
 20350                        | AGU
 20351                        | AGU
 20352                        | AGU
 20353                        | AGU
 20354                        | AGU
 20355                        | AGU
 20356                        | AGU
 20357                        | AGU
 20358                        | AGU
 20359                        | AGU
 20360                        | AGU
 20361                        | AGU
 20362                        | AGU
 20363                        | AGU
 20364                        | AGU
 20365                        | AGU
 20366                        | AGU
 20367                        | AGU
 20368                        | AGU
 20369                        | AGU
 20370                        | AGU
 20371                        | AGU
 20372                        | AGU
 20373                        | AGU
 20374                        | AGU
 20375                        | AGU
 20376                        | AGU
