 c_localidad | c_estado |               descripcion               
-------------+----------+-----------------------------------------
           1 | AGU      | Aguascalientes
           1 | BCN      | Ensenada
           1 | BCS      | Ciudad Constitución
           1 | CAM      | San Francisco de Campeche
           1 | COA      | Ciudad Acuña
           1 | COL      | Colima
           1 | CHH      | Santa Rosalía de Camargo
           1 | CHP      | Comitán de Domínguez
           1 | CMX      | Ciudad de México
           1 | DUR      | Victoria de Durango
           1 | GRO      | Acapulco de Juárez
           1 | GUA      | Acámbaro
           1 | HID      | Actopan
           1 | JAL      | Ameca
           1 | MEX      | Ciudad Adolfo López Mateos
           1 | MIC      | Apatzingán de la Constitución
           1 | MOR      | Cuautla (Cuautla de Morelos)
           1 | NAY      | Santiago Ixcuintla
           1 | NLE      | Ciudad Apodaca
           1 | OAX      | Juchitán (Juchitán de Zaragoza)
           1 | PUE      | Atlixco
           1 | QUE      | Querétaro
           1 | ROO      | Cancún
           1 | SIN      | Los Mochis
           1 | SLP      | Ciudad Valles
           1 | SON      | San Luis Río Colorado
           1 | TAB      | Cárdenas
           1 | TAM      | Altamira
           1 | TLA      | Apizaco
           1 | VER      | Acayucan
           1 | YUC      | Mérida
           1 | ZAC      | Fresnillo
           2 | AGU      | Calvillo
           2 | BCN      | Mexicali
           2 | BCS      | La Paz
           2 | CAM      | Ciudad del Carmen
           2 | COA      | Frontera
           2 | COL      | Manzanillo
           2 | CHH      | Chihuahua
           2 | CHP      | San Cristóbal de las Casas
           2 | CMX      | Ciudad de México
           2 | DUR      | Gómez Palacio
           2 | GRO      | Chilpancingo de los Bravo
           2 | GUA      | San miguel de Allende
           2 | HID      | Apan
           2 | JAL      | Ciudad Guzmán
           2 | MEX      | Chimalhuacán
           2 | MIC      | Los Reyes de Salgado
           2 | MOR      | Cuernavaca
           2 | NAY      | Tepic
           2 | NLE      | San Pedro Garza García
           2 | OAX      | Oaxaca de Juárez
           2 | PUE      | Izúcar de Matamoros
           2 | QUE      | San Juan del Rio
           2 | ROO      | Cozumel
           2 | SIN      | Culiacán Rosales
           2 | SLP      | Ébano
           2 | SON      | Agua Prieta
           2 | TAB      | Villahermosa
           2 | TAM      | Ciudad Camargo
           2 | TLA      | Villa Vicente Guerrero
           2 | VER      | Naranjos
           2 | YUC      | Tizimín
           2 | ZAC      | Jerez de García Salinas
           3 | AGU      | San Francisco de los Romo
           3 | BCN      | Tecate
           3 | BCS      | Cabo San Lucas
           3 | CAM      | Calkiní
           3 | COA      | Matamoros
           3 | COL      | Tecoman
           3 | CHH      | Cuauhtémoc
           3 | CHP      | Tapachula de Córdova y Ordóñez
           3 | CMX      | Ciudad de México
           3 | DUR      | Ciudad Lerdo
           3 | GRO      | Iguala de la Independencia
           3 | GUA      | Celaya
           3 | HID      | Pachuca de Soto
           3 | JAL      | Guadalajara
           3 | MEX      | Coacalco de Berriozabal
           3 | MIC      | Ciudad Hidalgo
           3 | MOR      | Galeana
           3 | NAY      | Tuxpan
           3 | NLE      | Ciudad General Escobedo
           3 | OAX      | Salina Cruz
           3 | PUE      | Puebla (Heroica Puebla)
           3 | ROO      | Felipe Carrillo Puerto
           3 | SIN      | Escuinapa de Hidalgo
           3 | SLP      | Matehuala
           3 | SON      | Heroica Caborca
           3 | TAB      | Comalcalco
           3 | TAM      | Ciudad Madero
           3 | TLA      | Tlaxcala (Tlaxcala de Xicotencatl)
           3 | VER      | Boca del RÍo
           3 | YUC      | Ticul
           3 | ZAC      | Zacatecas
           4 | AGU      | Jesús María
           4 | BCN      | Tijuana
           4 | BCS      | San José del Cabo
           4 | CAM      | Candelaria
           4 | COA      | Monclova
           4 | COL      | Ciudad de Villa de Álvarez
           4 | CHH      | Delicias
           4 | CHP      | Tuxtla Gutiérrez
           4 | CMX      | Ciudad de México
           4 | DUR      | Santiago Papasquiaro
           4 | GRO      | Taxco de Alarcón
           4 | GUA      | Cortazar
           4 | HID      | Cd. de Fray Bernardino de Sahagún
           4 | JAL      | Lagos de Moreno
           4 | MEX      | Cuautitlán Izcalli
           4 | MIC      | Jacona de Plancarte
           4 | MOR      | Jojutla
           4 | NAY      | Acaponeta
           4 | NLE      | Guadalupe
           4 | OAX      | San Juan Bautista Tuxtepec
           4 | PUE      | San Martín Texmelucan de Labastida
