 c_moneda |                                  descripcion                                  | decimales | pocentaje |       inicio        | fin 
----------+-------------------------------------------------------------------------------+-----------+-----------+---------------------+-----
 AED      | Dirham de EAU                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 AFN      | Afghani                                                                       | 2         | 5         | 2022-01-01 00:00:00 | 
 ALL      | Lek                                                                           | 2         | 5         | 2022-01-01 00:00:00 | 
 AMD      | Dram armenio                                                                  | 2         | 5         | 2022-01-01 00:00:00 | 
 ANG      | Florín antillano neerlandés                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 AOA      | Kwanza                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 ARS      | Peso Argentino                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 AUD      | Dólar Australiano                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 AWG      | Aruba Florin                                                                  | 2         | 5         | 2022-01-01 00:00:00 | 
 AZN      | Azerbaijanian Manat                                                           | 2         | 5         | 2022-01-01 00:00:00 | 
 BAM      | Convertibles marca                                                            | 2         | 5         | 2022-01-01 00:00:00 | 
 BBD      | Dólar de Barbados                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 BDT      | Taka                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 BGN      | Lev búlgaro                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 BHD      | Dinar de Bahrein                                                              | 3         | 5         | 2022-01-01 00:00:00 | 
 BIF      | Burundi Franc                                                                 | 0         | 5         | 2022-01-01 00:00:00 | 
 BMD      | Dólar de Bermudas                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 BND      | Dólar de Brunei                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 BOB      | Boliviano                                                                     | 2         | 5         | 2022-01-01 00:00:00 | 
 BOV      | Mvdol                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 BRL      | Real brasileño                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 BSD      | Dólar de las Bahamas                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 BTN      | Ngultrum                                                                      | 2         | 5         | 2022-01-01 00:00:00 | 
 BWP      | Pula                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 BYR      | Rublo bielorruso                                                              | 0         | 5         | 2022-01-01 00:00:00 | 
 BZD      | Dólar de Belice                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 CAD      | Dólar Canadiense                                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 CDF      | Franco congoleño                                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 CHE      | WIR Euro                                                                      | 2         | 5         | 2022-01-01 00:00:00 | 
 CHF      | Franco Suizo                                                                  | 2         | 5         | 2022-01-01 00:00:00 | 
 CHW      | Franc WIR                                                                     | 2         | 5         | 2022-01-01 00:00:00 | 
 CLF      | Unidad de Fomento                                                             | 4         | 5         | 2022-01-01 00:00:00 | 
 CLP      | Peso chileno                                                                  | 0         | 5         | 2022-01-01 00:00:00 | 
 CNH      | Yuan extracontinental (China )                                                | 2         | 5         | 2023-05-29 00:00:00 | 
 CNY      | Yuan Renminbi                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 COP      | Peso Colombiano                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 COU      | Unidad de Valor real                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 CRC      | Colón costarricense                                                           | 2         | 5         | 2022-01-01 00:00:00 | 
 CUC      | Peso Convertible                                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 CUP      | Peso Cubano                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 CVE      | Cabo Verde Escudo                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 CZK      | Corona checa                                                                  | 2         | 5         | 2022-01-01 00:00:00 | 
 DJF      | Franco de Djibouti                                                            | 0         | 5         | 2022-01-01 00:00:00 | 
 DKK      | Corona danesa                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 DOP      | Peso Dominicano                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 DZD      | Dinar argelino                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 EGP      | Libra egipcia                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 ERN      | Nakfa                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 ESD      | Dólar de Ecuador                                                              | 2         | 5         | 2023-05-29 00:00:00 | 
 ETB      | Birr etíope                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 EUR      | Euro                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 FJD      | Dólar de Fiji                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 FKP      | Libra malvinense                                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 GBP      | Libra Esterlina                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 GEL      | Lari                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 GHS      | Cedi de Ghana                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 GIP      | Libra de Gibraltar                                                            | 2         | 5         | 2022-01-01 00:00:00 | 
 GMD      | Dalasi                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 GNF      | Franco guineano                                                               | 0         | 5         | 2022-01-01 00:00:00 | 
 GTQ      | Quetzal                                                                       | 2         | 5         | 2022-01-01 00:00:00 | 
 GYD      | Dólar guyanés                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 HKD      | Dólar De Hong Kong                                                            | 2         | 5         | 2022-01-01 00:00:00 | 
 HNL      | Lempira                                                                       | 2         | 5         | 2022-01-01 00:00:00 | 
 HRK      | Kuna                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 HTG      | Gourde                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 HUF      | Florín                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 IDR      | Rupia                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 ILS      | Nuevo Shekel Israelí                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 INR      | Rupia india                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 IQD      | Dinar iraquí                                                                  | 3         | 5         | 2022-01-01 00:00:00 | 
 IRR      | Rial iraní                                                                    | 2         | 5         | 2022-01-01 00:00:00 | 
 ISK      | Corona islandesa                                                              | 0         | 5         | 2022-01-01 00:00:00 | 
 JMD      | Dólar Jamaiquino                                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 JOD      | Dinar jordano                                                                 | 3         | 5         | 2022-01-01 00:00:00 | 
 JPY      | Yen                                                                           | 0         | 5         | 2022-01-01 00:00:00 | 
 KES      | Chelín keniano                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 KGS      | Som                                                                           | 2         | 5         | 2022-01-01 00:00:00 | 
 KHR      | Riel                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 KMF      | Franco Comoro                                                                 | 0         | 5         | 2022-01-01 00:00:00 | 
 KPW      | Corea del Norte ganó                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 KRW      | Won                                                                           | 0         | 5         | 2022-01-01 00:00:00 | 
 KWD      | Dinar kuwaití                                                                 | 3         | 5         | 2022-01-01 00:00:00 | 
 KYD      | Dólar de las Islas Caimán                                                     | 2         | 5         | 2022-01-01 00:00:00 | 
 KZT      | Tenge                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 LAK      | Kip                                                                           | 2         | 5         | 2022-01-01 00:00:00 | 
 LBP      | Libra libanesa                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 LKR      | Rupia de Sri Lanka                                                            | 2         | 5         | 2022-01-01 00:00:00 | 
 LRD      | Dólar liberiano                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 LSL      | Loti                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 LYD      | Dinar libio                                                                   | 3         | 5         | 2022-01-01 00:00:00 | 
 MAD      | Dirham marroquí                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 MDL      | Leu moldavo                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
