 c_municipio | c_estado |                    descripcion                    |       inicio        | fin 
-------------+----------+---------------------------------------------------+---------------------+-----
 001         | AGU      | Aguascalientes                                    | 2022-01-01 00:00:00 | 
 001         | BCN      | Ensenada                                          | 2022-01-01 00:00:00 | 
 001         | BCS      | Comondú                                           | 2022-01-01 00:00:00 | 
 001         | CAM      | Calkiní                                           | 2022-01-01 00:00:00 | 
 001         | COA      | Abasolo                                           | 2022-01-01 00:00:00 | 
 001         | COL      | Armería                                           | 2022-01-01 00:00:00 | 
 001         | CHH      | Ahumada                                           | 2022-01-01 00:00:00 | 
 001         | CHP      | Acacoyagua                                        | 2022-01-01 00:00:00 | 
 001         | DUR      | Canatlán                                          | 2022-01-01 00:00:00 | 
 001         | GRO      | Acapulco de Juárez                                | 2022-01-01 00:00:00 | 
 001         | GUA      | Abasolo                                           | 2022-01-01 00:00:00 | 
 001         | HID      | Acatlán                                           | 2022-01-01 00:00:00 | 
 001         | JAL      | Acatic                                            | 2022-01-01 00:00:00 | 
 001         | MEX      | Acambay de Ruíz Castañeda                         | 2022-01-01 00:00:00 | 
 001         | MIC      | Acuitzio                                          | 2022-01-01 00:00:00 | 
 001         | MOR      | Amacuzac                                          | 2022-01-01 00:00:00 | 
 001         | NAY      | Acaponeta                                         | 2022-01-01 00:00:00 | 
 001         | NLE      | Abasolo                                           | 2022-01-01 00:00:00 | 
 001         | OAX      | Abejones                                          | 2022-01-01 00:00:00 | 
 001         | PUE      | Acajete                                           | 2022-01-01 00:00:00 | 
 001         | QUE      | Amealco de Bonfil                                 | 2022-01-01 00:00:00 | 
 001         | ROO      | Cozumel                                           | 2022-01-01 00:00:00 | 
 001         | SIN      | Ahome                                             | 2022-01-01 00:00:00 | 
 001         | SLP      | Ahualulco                                         | 2022-01-01 00:00:00 | 
 001         | SON      | Aconchi                                           | 2022-01-01 00:00:00 | 
 001         | TAB      | Balancán                                          | 2022-01-01 00:00:00 | 
 001         | TAM      | Abasolo                                           | 2022-01-01 00:00:00 | 
 001         | TLA      | Amaxac de Guerrero                                | 2022-01-01 00:00:00 | 
 001         | VER      | Acajete                                           | 2022-01-01 00:00:00 | 
 001         | YUC      | Abalá                                             | 2022-01-01 00:00:00 | 
 001         | ZAC      | Apozol                                            | 2022-01-01 00:00:00 | 
 002         | AGU      | Asientos                                          | 2022-01-01 00:00:00 | 
 002         | BCN      | Mexicali                                          | 2022-01-01 00:00:00 | 
 002         | BCS      | Mulegé                                            | 2022-01-01 00:00:00 | 
