 c_patente |         ini         | fin 
-----------+---------------------+-----
 0000      | 2000-01-01 00:00:00 | 
 0074      | 2001-07-03 00:00:00 | 
 0101      | 2001-05-21 00:00:00 | 
 0115      | 2001-05-17 00:00:00 | 
 0122      | 2001-05-14 00:00:00 | 
 0123      | 2001-05-16 00:00:00 | 
 0149      | 2001-05-21 00:00:00 | 
 0150      | 2001-05-22 00:00:00 | 
 0182      | 2001-05-21 00:00:00 | 
 0188      | 2001-05-23 00:00:00 | 
 0203      | 2001-05-18 00:00:00 | 
 0205      | 2001-05-21 00:00:00 | 
 0227      | 2001-05-17 00:00:00 | 
 0246      | 2001-05-21 00:00:00 | 
 0247      | 2001-05-23 00:00:00 | 
 0271      | 2001-07-31 00:00:00 | 
 0273      | 2001-05-11 00:00:00 | 
 0276      | 2001-06-21 00:00:00 | 
 0289      | 2001-05-17 00:00:00 | 
 0294      | 2001-05-21 00:00:00 | 
 0309      | 2001-05-21 00:00:00 | 
 0310      | 2001-05-23 00:00:00 | 
 0312      | 2001-05-14 00:00:00 | 
 0316      | 2001-05-21 00:00:00 | 
 0318      | 2001-07-31 00:00:00 | 
 0321      | 2001-05-18 00:00:00 | 
 0323      | 2001-05-18 00:00:00 | 
 0327      | 2001-05-21 00:00:00 | 
 0328      | 2001-05-18 00:00:00 | 
 0334      | 2001-05-14 00:00:00 | 
 0339      | 2001-05-15 00:00:00 | 
 0347      | 2001-05-21 00:00:00 | 
 0348      | 2001-05-15 00:00:00 | 
 0350      | 2001-05-17 00:00:00 | 
 0361      | 2001-06-12 00:00:00 | 
 0368      | 2001-05-15 00:00:00 | 
 0381      | 2001-05-16 00:00:00 | 
 0382      | 2001-05-17 00:00:00 | 
 0387      | 2001-05-22 00:00:00 | 
 0388      | 2001-05-17 00:00:00 | 
 0389      | 2001-05-21 00:00:00 | 
 0390      | 2001-08-01 00:00:00 | 
 0394      | 2001-05-18 00:00:00 | 
 0398      | 2001-06-15 00:00:00 | 
 0400      | 2001-05-22 00:00:00 | 
 0401      | 2001-06-12 00:00:00 | 
 0403      | 2001-05-16 00:00:00 | 
 0404      | 2001-05-22 00:00:00 | 
 0406      | 2001-05-21 00:00:00 | 
 0407      | 2001-05-18 00:00:00 | 
 0411      | 2001-07-31 00:00:00 | 
 0412      | 2001-05-08 00:00:00 | 
 0413      | 2001-05-15 00:00:00 | 
 0414      | 2001-05-21 00:00:00 | 
 0418      | 2001-05-18 00:00:00 | 
 0419      | 2001-05-17 00:00:00 | 
 0420      | 2001-05-16 00:00:00 | 
 0424      | 2001-05-21 00:00:00 | 
 0425      | 2001-05-16 00:00:00 | 
 0426      | 2001-05-21 00:00:00 | 
 0427      | 2001-05-16 00:00:00 | 
 0428      | 2001-06-08 00:00:00 | 
 0429      | 2001-05-18 00:00:00 | 
 0430      | 2001-05-22 00:00:00 | 
 0432      | 2001-06-18 00:00:00 | 
 0438      | 2001-05-15 00:00:00 | 
 0440      | 2001-05-18 00:00:00 | 
 0441      | 2001-10-19 00:00:00 | 
 0442      | 2001-05-22 00:00:00 | 
 0444      | 2001-05-18 00:00:00 | 
 0445      | 2001-05-18 00:00:00 | 
 0447      | 2001-05-23 00:00:00 | 
 0449      | 2001-05-21 00:00:00 | 
 0451      | 2001-05-11 00:00:00 | 
 0454      | 2001-06-29 00:00:00 | 
 0457      | 2001-05-21 00:00:00 | 
 0460      | 2001-05-21 00:00:00 | 
 0462      | 2001-05-15 00:00:00 | 
 0464      | 2001-05-21 00:00:00 | 
 0465      | 2001-05-17 00:00:00 | 
 0467      | 2001-05-15 00:00:00 | 
 0469      | 2001-05-21 00:00:00 | 
 0472      | 2001-05-16 00:00:00 | 
 0474      | 2002-07-01 00:00:00 | 
 0476      | 2001-05-22 00:00:00 | 
 0477      | 2001-05-18 00:00:00 | 
 0478      | 2001-05-22 00:00:00 | 
 0480      | 2001-05-14 00:00:00 | 
 0481      | 2001-05-21 00:00:00 | 
 0482      | 2001-05-15 00:00:00 | 
 0483      | 2001-05-15 00:00:00 | 
 0485      | 2001-05-18 00:00:00 | 
 0486      | 2001-05-18 00:00:00 | 
 0487      | 2001-05-22 00:00:00 | 
 0489      | 2001-05-18 00:00:00 | 
 0491      | 2001-05-18 00:00:00 | 
 0492      | 2001-05-14 00:00:00 | 
 0493      | 2001-05-21 00:00:00 | 
 0494      | 2001-08-23 00:00:00 | 
 0496      | 2001-05-18 00:00:00 | 
 0498      | 2001-05-23 00:00:00 | 
 0499      | 2001-05-15 00:00:00 | 
 0500      | 2001-05-14 00:00:00 | 
 0501      | 2001-05-16 00:00:00 | 
 0503      | 2001-05-15 00:00:00 | 
 0504      | 2001-05-11 00:00:00 | 
 0506      | 2001-05-14 00:00:00 | 
 0508      | 2001-05-21 00:00:00 | 
 0509      | 2001-05-23 00:00:00 | 
 0510      | 2001-05-18 00:00:00 | 
 0512      | 2001-05-18 00:00:00 | 
 0513      | 2001-05-17 00:00:00 | 
 0519      | 2001-06-12 00:00:00 | 
 0520      | 2001-05-21 00:00:00 | 
 0521      | 2001-05-17 00:00:00 | 
 0522      | 2001-05-15 00:00:00 | 
 0523      | 2001-05-17 00:00:00 | 
 0524      | 2001-05-23 00:00:00 | 
 0525      | 2001-05-14 00:00:00 | 
 0526      | 2001-05-17 00:00:00 | 
 0527      | 2001-05-18 00:00:00 | 
 0528      | 2001-05-17 00:00:00 | 
 0529      | 2001-06-18 00:00:00 | 
 0531      | 2001-05-21 00:00:00 | 
 0532      | 2001-05-15 00:00:00 | 
 0534      | 2001-05-14 00:00:00 | 
 0535      | 2001-08-01 00:00:00 | 
 0537      | 2001-05-17 00:00:00 | 
 0538      | 2001-05-21 00:00:00 | 
 0539      | 2001-05-18 00:00:00 | 
 0540      | 2001-05-21 00:00:00 | 
 0544      | 2001-05-22 00:00:00 | 
 0546      | 2001-05-21 00:00:00 | 
 0547      | 2001-06-21 00:00:00 | 
 0548      | 2001-05-18 00:00:00 | 
 0549      | 2001-05-15 00:00:00 | 
 0551      | 2001-05-16 00:00:00 | 
 0552      | 2001-05-18 00:00:00 | 
 0553      | 2001-05-17 00:00:00 | 
