 c_regimen_uso | c_regimenfiscal | persona_fisica | persona_moral 
---------------+-----------------+----------------+---------------
 G01           | 601             | SI             | SI
 G01           | 603             | SI             | SI
 G01           | 606             | SI             | SI
 G01           | 612             | SI             | SI
 G01           | 620             | SI             | SI
 G01           | 621             | SI             | SI
 G01           | 622             | SI             | SI
 G01           | 623             | SI             | SI
 G01           | 624             | SI             | SI
 G01           | 625             | SI             | SI
 G01           | 626             | SI             | SI
 G02           | 601             | SI             | SI
 G02           | 603             | SI             | SI
 G02           | 606             | SI             | SI
 G02           | 612             | SI             | SI
 G02           | 616             | SI             | SI
 G02           | 620             | SI             | SI
 G02           | 621             | SI             | SI
 G02           | 622             | SI             | SI
 G02           | 623             | SI             | SI
 G02           | 624             | SI             | SI
 G02           | 625             | SI             | SI
 G02           | 626             | SI             | SI
 G03           | 601             | SI             | SI
 G03           | 603             | SI             | SI
 G03           | 606             | SI             | SI
 G03           | 612             | SI             | SI
 G03           | 620             | SI             | SI
 G03           | 621             | SI             | SI
 G03           | 622             | SI             | SI
 G03           | 623             | SI             | SI
 G03           | 624             | SI             | SI
 G03           | 625             | SI             | SI
 G03           | 626             | SI             | SI
 I01           | 601             | SI             | SI
 I01           | 603             | SI             | SI
 I01           | 606             | SI             | SI
 I01           | 612             | SI             | SI
 I01           | 620             | SI             | SI
 I01           | 621             | SI             | SI
 I01           | 622             | SI             | SI
 I01           | 623             | SI             | SI
 I01           | 624             | SI             | SI
 I01           | 625             | SI             | SI
 I01           | 626             | SI             | SI
 I02           | 601             | SI             | SI
 I02           | 603             | SI             | SI
 I02           | 606             | SI             | SI
 I02           | 612             | SI             | SI
 I02           | 620             | SI             | SI
 I02           | 621             | SI             | SI
 I02           | 622             | SI             | SI
 I02           | 623             | SI             | SI
 I02           | 624             | SI             | SI
 I02           | 625             | SI             | SI
 I02           | 626             | SI             | SI
 I03           | 601             | SI             | SI
 I03           | 603             | SI             | SI
 I03           | 606             | SI             | SI
 I03           | 612             | SI             | SI
 I03           | 620             | SI             | SI
 I03           | 621             | SI             | SI
 I03           | 622             | SI             | SI
 I03           | 623             | SI             | SI
 I03           | 624             | SI             | SI
 I03           | 625             | SI             | SI
 I03           | 626             | SI             | SI
 I04           | 601             | SI             | SI
 I04           | 603             | SI             | SI
 I04           | 606             | SI             | SI
 I04           | 612             | SI             | SI
 I04           | 620             | SI             | SI
 I04           | 621             | SI             | SI
 I04           | 622             | SI             | SI
 I04           | 623             | SI             | SI
 I04           | 624             | SI             | SI
 I04           | 625             | SI             | SI
 I04           | 626             | SI             | SI
 I05           | 601             | SI             | SI
 I05           | 603             | SI             | SI
 I05           | 606             | SI             | SI
 I05           | 612             | SI             | SI
 I05           | 620             | SI             | SI
 I05           | 621             | SI             | SI
 I05           | 622             | SI             | SI
 I05           | 623             | SI             | SI
 I05           | 624             | SI             | SI
 I05           | 625             | SI             | SI
 I05           | 626             | SI             | SI
 I06           | 601             | SI             | SI
 I06           | 603             | SI             | SI
 I06           | 606             | SI             | SI
 I06           | 612             | SI             | SI
 I06           | 620             | SI             | SI
 I06           | 621             | SI             | SI
 I06           | 622             | SI             | SI
 I06           | 623             | SI             | SI
 I06           | 624             | SI             | SI
 I06           | 625             | SI             | SI
 I06           | 626             | SI             | SI
 I07           | 601             | SI             | SI
 I07           | 603             | SI             | SI
 I07           | 606             | SI             | SI
 I07           | 612             | SI             | SI
 I07           | 620             | SI             | SI
 I07           | 621             | SI             | SI
 I07           | 622             | SI             | SI
 I07           | 623             | SI             | SI
 I07           | 624             | SI             | SI
 I07           | 625             | SI             | SI
 I07           | 626             | SI             | SI
 I08           | 601             | SI             | SI
 I08           | 603             | SI             | SI
 I08           | 606             | SI             | SI
 I08           | 612             | SI             | SI
 I08           | 620             | SI             | SI
 I08           | 621             | SI             | SI
 I08           | 622             | SI             | SI
 I08           | 623             | SI             | SI
 I08           | 624             | SI             | SI
 I08           | 625             | SI             | SI
 I08           | 626             | SI             | SI
 D01           | 605             | SI             | NO
 D01           | 606             | SI             | NO
 D01           | 608             | SI             | NO
 D01           | 611             | SI             | NO
 D01           | 612             | SI             | NO
 D01           | 614             | SI             | NO
 D01           | 607             | SI             | NO
 D01           | 615             | SI             | NO
 D01           | 625             | SI             | NO
 D02           | 605             | SI             | NO
 D02           | 606             | SI             | NO
 D02           | 608             | SI             | NO
 D02           | 611             | SI             | NO
 D02           | 612             | SI             | NO
 D02           | 614             | SI             | NO
 D02           | 607             | SI             | NO
 D02           | 615             | SI             | NO
 D02           | 625             | SI             | NO
 D03           | 605             | SI             | NO
 D03           | 606             | SI             | NO
 D03           | 608             | SI             | NO
 D03           | 611             | SI             | NO
 D03           | 612             | SI             | NO
 D03           | 614             | SI             | NO
 D03           | 607             | SI             | NO
 D03           | 615             | SI             | NO
 D03           | 625             | SI             | NO
 D04           | 605             | SI             | NO
 D04           | 606             | SI             | NO
 D04           | 608             | SI             | NO
 D04           | 611             | SI             | NO
 D04           | 612             | SI             | NO
 D04           | 614             | SI             | NO
 D04           | 607             | SI             | NO
 D04           | 615             | SI             | NO
 D04           | 625             | SI             | NO
 D05           | 605             | SI             | NO
 D05           | 606             | SI             | NO
 D05           | 608             | SI             | NO
 D05           | 611             | SI             | NO
 D05           | 612             | SI             | NO
 D05           | 614             | SI             | NO
 D05           | 607             | SI             | NO
 D05           | 615             | SI             | NO
 D05           | 625             | SI             | NO
 D06           | 605             | SI             | NO
 D06           | 606             | SI             | NO
 D06           | 608             | SI             | NO
 D06           | 611             | SI             | NO
 D06           | 612             | SI             | NO
 D06           | 614             | SI             | NO
 D06           | 607             | SI             | NO
 D06           | 615             | SI             | NO
 D06           | 625             | SI             | NO
 D07           | 605             | SI             | NO
 D07           | 606             | SI             | NO
 D07           | 608             | SI             | NO
 D07           | 611             | SI             | NO
 D07           | 612             | SI             | NO
 D07           | 614             | SI             | NO
 D07           | 607             | SI             | NO
 D07           | 615             | SI             | NO
 D07           | 625             | SI             | NO
 D08           | 605             | SI             | NO
 D08           | 606             | SI             | NO
 D08           | 608             | SI             | NO
 D08           | 611             | SI             | NO
 D08           | 612             | SI             | NO
 D08           | 614             | SI             | NO
 D08           | 607             | SI             | NO
 D08           | 615             | SI             | NO
 D08           | 625             | SI             | NO
 D09           | 605             | SI             | NO
 D09           | 606             | SI             | NO
 D09           | 608             | SI             | NO
 D09           | 611             | SI             | NO
 D09           | 612             | SI             | NO
 D09           | 614             | SI             | NO
 D09           | 607             | SI             | NO
 D09           | 615             | SI             | NO
 D09           | 625             | SI             | NO
 D10           | 605             | SI             | NO
 D10           | 606             | SI             | NO
 D10           | 608             | SI             | NO
 D10           | 611             | SI             | NO
 D10           | 612             | SI             | NO
 D10           | 614             | SI             | NO
 D10           | 607             | SI             | NO
 D10           | 615             | SI             | NO
 D10           | 625             | SI             | NO
 S01           | 601             | SI             | SI
 S01           | 603             | SI             | SI
 S01           | 605             | SI             | SI
 S01           | 606             | SI             | SI
 S01           | 608             | SI             | SI
 S01           | 610             | SI             | SI
 S01           | 611             | SI             | SI
 S01           | 612             | SI             | SI
 S01           | 614             | SI             | SI
 S01           | 616             | SI             | SI
 S01           | 620             | SI             | SI
 S01           | 621             | SI             | SI
 S01           | 622             | SI             | SI
 S01           | 623             | SI             | SI
 S01           | 624             | SI             | SI
 S01           | 607             | SI             | SI
 S01           | 615             | SI             | SI
 S01           | 625             | SI             | SI
 S01           | 626             | SI             | SI
 CP01          | 601             | SI             | SI
 CP01          | 603             | SI             | SI
 CP01          | 605             | SI             | SI
 CP01          | 606             | SI             | SI
 CP01          | 608             | SI             | SI
 CP01          | 610             | SI             | SI
 CP01          | 611             | SI             | SI
 CP01          | 612             | SI             | SI
 CP01          | 614             | SI             | SI
 CP01          | 616             | SI             | SI
 CP01          | 620             | SI             | SI
 CP01          | 621             | SI             | SI
 CP01          | 622             | SI             | SI
 CP01          | 623             | SI             | SI
 CP01          | 624             | SI             | SI
 CP01          | 607             | SI             | SI
 CP01          | 615             | SI             | SI
 CP01          | 625             | SI             | SI
 CP01          | 626             | SI             | SI
 CN01          | 601             | NO             | NO
 CN01          | 603             | NO             | NO
 CN01          | 605             | SI             | NO
 CN01          | 606             | NO             | NO
 CN01          | 608             | NO             | NO
 CN01          | 610             | NO             | NO
 CN01          | 612             | NO             | NO
 CN01          | 614             | NO             | NO
 CN01          | 616             | NO             | NO
 CN01          | 621             | NO             | NO
 CN01          | 622             | NO             | NO
 CN01          | 623             | NO             | NO
 CN01          | 624             | NO             | NO
 CN01          | 625             | NO             | NO
 CN01          | 626             | NO             | NO
 P01           | 601             | SI             | SI
 P01           | 603             | SI             | SI
 P01           | 605             | SI             | SI
 P01           | 606             | SI             | SI
 P01           | 608             | SI             | SI
 P01           | 610             | SI             | SI
 P01           | 612             | SI             | SI
 P01           | 614             | SI             | SI
 P01           | 616             | SI             | SI
 P01           | 621             | SI             | SI
 P01           | 622             | SI             | SI
 P01           | 623             | SI             | SI
 P01           | 624             | SI             | SI
 P01           | 625             | SI             | SI
 P01           | 626             | SI             | SI
(280 rows)

